"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Cryptoblepharus","virgatus","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Ctenophorus","cristatus","Animalia","Chordata","Reptilia","Squamata","Agamidae","max",NA,NA,NA,NA,NA
"Ctenophorus","decresii","Animalia","Chordata","Reptilia","Squamata","Agamidae","max, min",NA,NA,NA,NA,NA
"Ctenophorus","fordi","Animalia","Chordata","Reptilia","Squamata","Agamidae","max",NA,NA,NA,NA,NA
"Ctenophorus","maculosus","Animalia","Chordata","Reptilia","Squamata","Agamidae","max",NA,NA,NA,NA,NA
"Ctenophorus","nuchalis","Animalia","Chordata","Reptilia","Squamata","Agamidae","max",NA,NA,NA,NA,NA
"Ctenophorus","pictus","Animalia","Chordata","Reptilia","Squamata","Agamidae","max",NA,NA,NA,NA,NA
"Ctenophorus","reticulatus","Animalia","Chordata","Reptilia","Squamata","Agamidae","max",NA,NA,NA,NA,NA
"Ctenotus","pantherinus","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Ctenotus","regius","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Ctenotus","spaldingi","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Ctenotus","taeniolatus","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Ctenotus","uber","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
"Cyclodomorphus","branchialis","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Cyclodomorphus","melanops","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Dipsosaurus","dorsalis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Egernia","cunninghami","Animalia","Chordata","Reptilia","Squamata","Scincidae","max, min",NA,NA,NA,NA,NA
