"Genus","Species","Class","Order","Family","genus_species"
"Littorina","obtusata","Gastropoda","Neotaenioglossa","Littorinidae","Littorina obtusata"
"Littorina","saxatilis","Gastropoda","Neotaenioglossa","Littorinidae","Littorina saxatilis"
"Lophognathus","gilberti","Reptilia","Squamata","Agamidae","Lophognathus gilberti"
"Macoma","balthica","Bivalvia","Veneroida","Tellinidae","Macoma balthica"
"Malacoctenus","zonifer","Actinopterygii","Perciformes","Labrisomidae","Malacoctenus zonifer"
"Masticophis","lateralis","Reptilia","Squamata","Colubridae","Masticophis lateralis"
"Menidia","menidia","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia menidia"
"Metacarcinus","magister","Malacostraca","Decapoda","Cancridae","Metacarcinus magister"
"Moloch","horridus","Reptilia","Squamata","Agamidae","Moloch horridus"
"Morethia","butleri","Reptilia","Squamata","Scincidae","Morethia butleri"
"Morethia","lineoocellata","Reptilia","Squamata","Scincidae","Morethia lineoocellata"
"Morethia","obscura","Reptilia","Squamata","Scincidae","Morethia obscura"
"Morethia","taeniopleura","Reptilia","Squamata","Scincidae","Morethia taeniopleura"
"Mulinia","lateralis","Bivalvia","Veneroida","Mactridae","Mulinia lateralis"
"Mya","arenaria","Bivalvia","Myoida","Myidae","Mya arenaria"
"Mytilus","edulis","Bivalvia","Mytiloida","Mytilidae","Mytilus edulis"
"Nacella","concinna","Gastropoda","Archaeogastropoda","Patellidae","Nacella concinna"
"Nannoscincus","maccoyi","Reptilia","Squamata","Scincidae","Nannoscincus maccoyi"
"Neobatrachus","pictus","Amphibia","Anura","Myobatrachidae","Neobatrachus pictus"
"Niveoscincus","coventryi","Reptilia","Squamata","Scincidae","Niveoscincus coventryi"
"Niveoscincus","metallicus","Reptilia","Squamata","Scincidae","Niveoscincus metallicus"
"Niveoscincus","ocellatus","Reptilia","Squamata","Scincidae","Niveoscincus ocellatus"
"Notechis","scutatus","Reptilia","Squamata","Elapidae","Notechis scutatus"
"Notophthalmus","viridescens","Amphibia","Caudata","Plethodontidae","Notophthalmus viridescens"
"Nucella","lapillus","Gastropoda","Archaeogastropoda","Muricidae","Nucella lapillus"
"Occidozyga","laevis","Amphibia","Anura","Dicroglossidae","Occidozyga laevis"
"Oedothorax","apicatus","Arachnida","Araneae","Linyphiidae","Oedothorax apicatus"
"Oncorhynchus","tshawytscha","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus tshawytscha"
"Pachygrapsus","marmoratus","Malacostraca","Decapoda","Grapsidae","Pachygrapsus marmoratus"
"Parablennius","marmoreus","Actinopterygii","Perciformes","Blenniidae","Parablennius marmoreus"
"Pardosa","nigriceps","Arachnida","Araneae","Lycosidae","Pardosa nigriceps"
"Parvoscincus","decipiens","Reptilia","Squamata","Scincidae","Parvoscincus decipiens"
"Patiriella","brevispina","Asteroidae","Valvatida","Asterinidae","Patiriella brevispina"
"Pedioplanis","lineoocellata","Reptilia","Squamata","Lacertidae","Pedioplanis lineoocellata"
"Pegusa","lascaris","Actinopterygii","Pleuronectiformes","Soleidae","Pegusa lascaris"
"Periophthalmus","kalolo","Actinopterygii","Perciformes","Gobiidae","Periophthalmus kalolo"
"Petrolisthes","gracilis","Malacostraca","Decapoda","Porcellanidae","Petrolisthes gracilis"
"Petrolisthes","hirtipes","Malacostraca","Decapoda","Porcellanidae","Petrolisthes hirtipes"
"Petrosaurus","mearnsi","Reptilia","Squamata","Phrynosomatidae","Petrosaurus mearnsi"
"Philodromus","aureolus","Arachnida","Araneae","Philodromidae","Philodromus aureolus"
"Philoria","frosti","Amphibia","Anura","Myobatrachidae","Philoria frosti"
"Philoria","loveridgei","Amphibia","Anura","Myobatrachidae","Philoria loveridgei"
"Phrurolithus","festivus","Arachnida","Araneae","Corinnidae","Phrurolithus festivus"
"Phrynosoma","cornutum","Reptilia","Squamata","Phrynosomatidae","Phrynosoma cornutum"
"Phrynosoma","coronatum","Reptilia","Squamata","Phrynosomatidae","Phrynosoma coronatum"
"Phrynosoma","platyrhinos","Reptilia","Squamata","Phrynosomatidae","Phrynosoma platyrhinos"
"Phyllorhynchus","decurtatus","Reptilia","Squamata","Colubridae","Phyllorhynchus decurtatus"
"Phymaturus","antofagastensis","Reptilia","Squamata","Liolaemidae","Phymaturus antofagastensis"
"Phymaturus","dorsimaculatus","Reptilia","Squamata","Liolaemidae","Phymaturus dorsimaculatus"
"Phymaturus","indistinctus","Reptilia","Squamata","Liolaemidae","Phymaturus indistinctus"
"Phymaturus","palluma","Reptilia","Squamata","Liolaemidae","Phymaturus palluma"
"Phymaturus","patagonicus","Reptilia","Squamata","Liolaemidae","Phymaturus patagonicus"
"Phymaturus","somuncurensis","Reptilia","Squamata","Liolaemidae","Phymaturus somuncurensis"
"Phymaturus","tenebrosus","Reptilia","Squamata","Liolaemidae","Phymaturus tenebrosus"
"Phymaturus","zapalensis","Reptilia","Squamata","Liolaemidae","Phymaturus zapalensis"
"Pinoyscincus","abdictus","Reptilia","Squamata","Scincidae","Pinoyscincus abdictus"
"Pinoyscincus","jagori","Reptilia","Squamata","Scincidae","Pinoyscincus jagori"
"Pituophis","catenifer","Reptilia","Squamata","Colubridae","Pituophis catenifer"
"Plagiotremus","azaleus","Actinopterygii","Perciformes","Blenniidae","Plagiotremus azaleus"
"Platymantis","banahao","Amphibia","Anura","Ceratobatrachidae","Platymantis banahao"
"Platymantis","corrugatus","Amphibia","Anura","Ceratobatrachidae","Platymantis corrugatus"
"Platymantis","dorsalis","Amphibia","Anura","Ceratobatrachidae","Platymantis dorsalis"
"Platymantis","luzonensis","Amphibia","Anura","Ceratobatrachidae","Platymantis luzonensis"
"Platysaurus","intermedius","Reptilia","Squamata","Cordylidae","Platysaurus intermedius"
"Plestiodon","chinensis","Reptilia","Squamata","Scincidae","Plestiodon chinensis"
"Plestiodon","elegans","Reptilia","Squamata","Scincidae","Plestiodon elegans"
"Plestiodon","gilberti","Reptilia","Squamata","Scincidae","Plestiodon gilberti"
"Plestiodon","obsoletus","Reptilia","Squamata","Scincidae","Plestiodon obsoletus"
"Plestiodon","skiltonianus","Reptilia","Squamata","Scincidae","Plestiodon skiltonianus"
"Plethodon","glutinosus","Amphibia","Caudata","Plethodontidae","Plethodon glutinosus"
"Podarcis","bocagei","Reptilia","Squamata","Lacertidae","Podarcis bocagei"
"Podarcis","muralis","Reptilia","Squamata","Lacertidae","Podarcis muralis"
"Podarcis","tiliguerta","Reptilia","Squamata","Lacertidae","Podarcis tiliguerta"
"Pogonomyrmex","barbatus","Insecta","Hymenoptera","Formicidae","Pogonomyrmex barbatus"
"Pogonomyrmex","rugosus","Insecta","Hymenoptera","Formicidae","Pogonomyrmex rugosus"
"Prinerigone","vagans","Arachnida","Araneae","Linyphiidae","Prinerigone vagans"
"Proceratium","silaceum","Insecta","Hymenoptera","Formicidae","Proceratium silaceum"
"Protobothrops","mucrosquamatus","Reptilia","Squamata","Viperidae","Protobothrops mucrosquamatus"
"Protothaca","thaca","Bivalvia","Veneroida","Veneridae","Protothaca thaca"
"Psammodromus","algirus","Reptilia","Squamata","Lacertidae","Psammodromus algirus"
"Psammodromus","hispanicus","Reptilia","Squamata","Lacertidae","Psammodromus hispanicus"
"Pseudacris","cadaverina","Amphibia","Anura","Hylidae","Pseudacris cadaverina"
"Pseudacris","regilla","Amphibia","Anura","Hylidae","Pseudacris regilla"
"Pseudacris","triseriata","Amphibia","Anura","Hylidae","Pseudacris triseriata"
