"binomial","acc_name"
"Crotalus cerastes","Crotalus cerastes"
"Crustulina guttata","Crustulina guttata"
"Cryptopygus cisantarcticus","Cryptopygus cisantarcticus"
"Ctenophorus cristatus","Ctenophorus cristatus"
"Ctenophorus decresii","Ctenophorus decresii"
"Ctenophorus fordi","Ctenophorus fordi"
"Ctenophorus maculosus","Ctenophorus maculosus"
"Ctenophorus nuchalis","Ctenophorus nuchalis"
"Ctenophorus pictus","Ctenophorus pictus"
"Ctenophorus reticulatus","Ctenophorus reticulatus"
"Cucujus clavipes","Cucujus clavipes"
"Cyprinodon artifrons","Cyprinodon artifrons"
"Cyprinodon dearborni","Cyprinodon dearborni"
"Cyprinodon macularius","Cyprinodon macularius"
"Cyprinodon nevadensis_amargosae","Cyprinodon nevadensis_amargosae"
"Cyprinodon variegatus","Cyprinodon variegatus"
"Cyrtodactylus philippinicus","Cyrtodactylus philippinicus"
"Dasyatis sabina","Dasyatis sabina"
"Diplodus bellottii","Diplodus bellottii"
"Diplodus vulgaris","Diplodus vulgaris"
"Distaplia occidentalis","Distaplia occidentalis"
"Dolichoderus beccarii","Dolichoderus beccarii"
"Dolichoderus cuspidatus","Dolichoderus cuspidatus"
"Drosophila bizonata","Drosophila bizonata"
"Drosophila immigrans","Drosophila immigrans"
"Drosophila putrida","Drosophila putrida"
"Drosophila recens","Drosophila recens"
"Eleutherodactylus coqui","Eleutherodactylus coqui"
"Erythemis credula","Erythemis credula"
"Erythemis plebeja","Erythemis plebeja"
"Etheostoma blennioides","Etheostoma blennioides"
"Euophrys frontalis","Euophrys frontalis"
"Eurypanopeus abbreviatus","Eurypanopeus abbreviatus"
"Floridichthys carpio","Floridichthys carpio"
"Formica aserva","Formica aserva"
"Formica neogagates","Formica neogagates"
"Formica obscuripes","Formica obscuripes"
"Formica pallidefulva","Formica pallidefulva"
"Formica pergandei","Formica pergandei"
"Formica perpilosa","Formica perpilosa"
"Formica podzolica","Formica podzolica"
"Formica polyctena","Formica polyctena"
"Formica sanguinea","Formica sanguinea"
"Formica subsericea","Formica subsericea"
"Fundulus notatus","Fundulus notatus"
"Fundulus olivaceus","Fundulus olivaceus"
"Fundulus parvipinnis","Fundulus parvipinnis"
"Fundulus sciadicus","Fundulus sciadicus"
