"range","high_or_low","temps","type","dormancy","realm"
"Gobius_cobitis_GBIF","high",3.14999985694885,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.53999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.52999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.53999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",7.07999992370605,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.5499997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.5499997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.28999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.15000009536743,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.98999977111816,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.98000001907349,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",7.32999992370605,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",7.2999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",8.38000011444092,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",8.38000011444092,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",8.13000011444092,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",8.26000022888184,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",8.28999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.78999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.56999969482422,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.25999975204468,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.42000007629395,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.2999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.01999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.15999984741211,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",6.10999965667725,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.19999980926514,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.60999965667725,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.57999992370605,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.52999973297119,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.61999988555908,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.83999967575073,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.98000001907349,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.7999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.03999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.11999988555908,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.94999980926514,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.75999975204468,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.37999987602234,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.69999980926514,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.21999979019165,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.75,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.72000002861023,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.0499997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.25,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.7999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.92999982833862,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.19000005722046,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",5.36999988555908,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.23999977111816,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.96999979019165,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",4.31999969482422,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.8199999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.23000001907349,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.92999982833862,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.16999983787537,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.92999982833862,"potential_reg","none","Intertidal"
