"Realm","Class","Order","Family","Genus","Species","Tmin","Tmax","Metric_Tmin","Metric_Tmax","RealizedRangeSource","AbsLatitude","RangeSize","LogBodySize","DispersalDistance","HotSeasonDormancy","ColdSeasonDormancy","NicheFilling_Warm","NicheFilling_Cool","LogRangeFilling","EquatorwardBiasInUnderfilling","NicheFilling_Warm_Behaviour","NicheFilling_Warm_Acclimation","NicheFilling_Cool_Acclimation","LogRangeFilling_Acclimation","EquatorwardBiasInUnderfilling_Acclimation"
"Marine","Ascidiacea","Aplousobranchia","Holozoidae","Distaplia","occidentalis",NA,21.9,NA,"lt","GBIF",46.7688837863912,37,2.30258509299405,1,"No",NA,5.4699993133545,NA,NA,NA,NA,1.86,NA,NA,NA
"Marine","Bivalvia","Arcoida","Arcidae","Acar","domingensis",NA,39,NA,"ct","GBIF",21.9404717287917,50,0.741937344729377,100,"No",NA,-4.2900009155273,NA,NA,NA,NA,-4.29,NA,NA,NA
"Marine","Bivalvia","Limoida","Limidae","Limatula","hodgsoni",NA,12.7,NA,"ct","GBIF",63.0507442813417,8,0.262364264467491,10,"No",NA,-0.199999809265099,NA,NA,NA,NA,4.73,NA,NA,NA
"Marine","Bivalvia","Myoida","Myidae","Mya","arenaria",NA,32,NA,"lt","GBIF",44.325639786084,49,2.30258509299405,100,"No",NA,-1.3700008392334,NA,NA,NA,NA,-3.78,NA,NA,NA
"Marine","Bivalvia","Mytiloida","Mytilidae","Aulacomya","atra",NA,25.6,NA,"lt","GBIF",39.0479854037766,165,2.77258872223978,100,"No",NA,6.9899997711181,NA,NA,NA,NA,2.35,NA,NA,NA
"Marine","Bivalvia","Ostreoida","Pectinidae","Adamussium","colbecki",NA,2,NA,"ct","GBIF",60.0542728983342,19,2.19722457733622,1000,"No",NA,23.9599990844727,NA,NA,NA,NA,NA,NA,NA,NA
"Marine","Bivalvia","Pectinoida","Pectininae","Argopecten","purpuratus",NA,29,NA,"lt","GBIF",19.0516894121874,24,2.484906649788,100,"No",NA,3.189998626709,NA,NA,NA,NA,-0.480000000000004,NA,NA,NA
"Marine","Bivalvia","Pholadomyoida","Laternulidae","Laternula","elliptica",NA,5,NA,"ct","GBIF",60.862283461064,12,2.11625551480255,100,"No",NA,8.3800001144409,NA,NA,NA,NA,NA,NA,NA,NA
"Marine","Bivalvia","Veneroida","Donacidae","Donax","serra",NA,33,NA,"lt","GBIF",26.5763561234629,17,2.10413415427021,1000,"No",NA,-4.8800010681152,NA,NA,NA,NA,-8.77,NA,NA,NA
"Marine","Bivalvia","Veneroida","Mactridae","Mulinia","lateralis",NA,32,NA,"lt","GBIF",30.5883553352363,42,0.405465108108164,100,"No",NA,0.799999237060497,NA,NA,NA,NA,-1.61,NA,NA,NA
