"log_prop_occupied","log_pol_equ_diff","abs_lat_mp","realm","dispersal_distance_continuous","log_maximum_body_size","rr_cells","metric","Class","Order","Family","Genus","Species","range","bias_in_uf"
-2.19097110836438,-0.494461534617333,-2.19920104561817,"Marine",4.56742870256138,0.462265451241883,322,"ct","Actinopterygii","Perciformes","Gobiidae","Periophthalmus","kalolo","Periophthalmus_kalolo_GBIF",-0.0554274455237315
-2.25873920744871,0.0566969296780577,1.81556198702336,"Terrestrial",-0.207876027588701,-1.86600518586342,346,"mixed","Arachnida","Araneae","Philodromidae","Philodromus","aureolus","Philodromus_aureolus_GBIF",0.00591988578472691
-0.73716406597672,-0.0521160011390137,0.0125391067273816,"Terrestrial",-0.251287888771884,0.39493350794465,186,"ct","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","cornutum","Phrynosoma_cornutum_IUCN",-0.025077160493827
-3.66356164612965,2.53567897516142,-0.320347045528346,"Terrestrial",-0.251287888771884,0.177446279864594,4,"ct","Reptilia","Squamata","Liolaemidae","Phymaturus","antofagastensis","Phymaturus_antofagastensis_IUCN",0.11509900990099
-4.38807970638696,0.577651443008073,-1.5329255965513,"Marine",-0.207876027588701,0.177446279864594,46,"ct","Actinopterygii","Perciformes","Blenniidae","Plagiotremus","azaleus","Plagiotremus_azaleus_IUCN",0.00752203088366077
-3.71221613429317,3.57626396471466,-0.691412615497905,"Terrestrial",-0.251287888771884,0.0667552431011736,52,"ct","Reptilia","Squamata","Cordylidae","Platysaurus","intermedius","Platysaurus_intermedius_IUCN",0.459009426672848
-1.29928298413026,1.06466068819484,-0.240860097937053,"Terrestrial",-0.251287888771884,0.407589500559554,229,"ct","Reptilia","Squamata","Scincidae","Plestiodon","chinensis","Plestiodon_chinensis_IUCN",0.340176715176715
-1.2334449176506,1.11951950877591,-0.0377918895043472,"Terrestrial",-0.251287888771884,0.143606829774353,316,"ct","Reptilia","Squamata","Scincidae","Plestiodon","elegans","Plestiodon_elegans_IUCN",0.393196904618224
-3.32895247478883,1.69459572077441,0.293247833833154,"Terrestrial",-0.251287888771884,0.286062343293634,41,"ct","Reptilia","Squamata","Scincidae","Plestiodon","gilberti","Plestiodon_gilberti_IUCN",0.072562358276644
-1.2254790095469,1.33982035316829,0.949861789815653,"Terrestrial",-0.251287888771884,-0.0610281809498612,254,"ct","Reptilia","Squamata","Lacertidae","Podarcis","muralis","Podarcis_muralis_IUCN",0.623290598290598
-2.91870226452239,1.00799695316799,1.52711830208999,"Terrestrial",-0.251287888771884,-2.72931984828261,29,"ct","Arachnida","Araneae","Linyphiidae","Prinerigone","vagans","Prinerigone_vagans_GBIF",0.0692782627208857
-1.11355386866631,-0.173622181000326,-0.213883628933772,"Terrestrial",-0.251287888771884,2.29081245986657,374,"ct","Reptilia","Squamata","Viperidae","Protobothrops","mucrosquamatus","Protobothrops_mucrosquamatus_IUCN",-0.0567584196745758
-2.62618161525521,2.49949873957849,0.135821630679113,"Terrestrial",-0.251287888771884,0.0901075314034971,75,"ct","Reptilia","Squamata","Lacertidae","Psammodromus","algirus","Psammodromus_algirus_IUCN",0.280461452669734
-1.46151778235748,-0.271933715483644,0.666698949253239,"Terrestrial",-0.251287888771884,-0.397139055746802,64,"ct","Reptilia","Squamata","Lacertidae","Psammodromus","hispanicus","Psammodromus_hispanicus_IUCN",-0.05952380952381
-4.46475803227135,-0.094745367589363,0.112952325939872,"Terrestrial",-0.251287888771884,-0.669452966651491,14,"mixed","Amphibia","Anura","Hylidae","Pseudacris","cadaverina","Pseudacris_cadaverina_IUCN",-0.00107188316473494
-2.24145162080498,0.5627898915694,0.603020445309759,"Terrestrial",-0.251287888771884,-0.629008291061545,210,"mixed","Amphibia","Anura","Hylidae","Pseudacris","regilla","Pseudacris_regilla_IUCN",0.0622399056881819
-2.38136597084716,2.14810378000127,0.472421360844437,"Terrestrial",-0.251287888771884,-0.192504045022589,71,"ct","Reptilia","Squamata","Scincidae","Pseudemoia","entrecasteauxii","Pseudemoia_entrecasteauxii_IUCN",0.64239618406285
