"Data for CTMax analyses (Fig. 6 & 7, S10, Table S16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Family,Genus3,Species3,Average of Safety,Average of Elevation,Log Average of Elevation,Average of Abs lat,Log Range,log SVL,Average of tmxslope,IUCN 2014risk,Average of Abs lat/10,log SVLx10,Average of tmxslope/100,Average of Safety/10,Average of ARR,LogARR,Log(ARR+1),Exclude Negative ARRs,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Incilius,canaliferus,9.7595021,914,2.960946196,14.613333,4.139343756,1.698970004,0.027307723,0,1.4613333,16.98970004,2.730772309,0.97595021,,,,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Incilius,marmoreus,8.1843781,305,2.484299839,17.059417,5.096277219,1.716003344,0.019664666,0,1.7059417,17.16003344,1.966466587,0.81843781,0.171428571,-0.765916794,0.068715812,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Incilius,mazatlanensis,4.881028867,305,2.484299839,27,4.241322303,1.929418926,0.042442577,0,2.7,19.29418926,4.244257703,0.488102887,0.153333333,-0.814363423,0.061954844,,,,,,,,,,,,,,,,,,,
Anura,Microhylidae,Kaloula,kalingensis,9.3250744,1100,3.041392685,14.0675,4.013805927,1.51851394,-0.006659064,1,1.40675,15.1851394,-0.665906363,0.93250744,,,,,,,,,,,,,,,,,,,,,,
Anura,Microhylidae,Kaloula,walteri,,1100,3.041392685,14.0675,2.808885867,1.51851394,-0.006659064,,1.40675,15.1851394,-0.665906363,,,,,,,,,,,,,,,,,,,,,,,
Anura,Ceratophryidae,Lepidobatrachus,llanensis,,102,2.008600172,25.316761,5.45604095,1.883661435,0.012514206,0,2.5316761,18.83661435,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Leptodactylidae,Leptodactylus,bufonius,,102,2.008600172,25.316761,6.033165112,1.51851394,0.012514206,0,2.5316761,15.1851394,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Leptodactylidae,Leptodactylus,latinasus,,102,2.008600172,25.316761,6.26148127,1.51851394,0.012514206,0,2.5316761,15.1851394,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Leptodactylidae,Leptodactylus,latrans,,312,2.494154594,27.087367,7.04016862,1.740362689,0.00282473,0,2.7087367,17.40362689,0.282472989,,,,,,,,,,,,,,,,,,,,,,,
Anura,Leptodactylidae,Leptodactylus,melanonotus,5.2530847,305,2.484299839,31,5.913272766,1.51851394,0.034967987,0,3.1,15.1851394,3.496798719,0.52530847,0.557142857,-0.254033433,0.192328458,,,,,,,,,,,,,,,,,,,
Anura,Leptodactylidae,Leptodactylus,podicipinus,,102,2.008600172,25.316761,6.589337585,1.740362689,0.012514206,0,2.5316761,17.40362689,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Limnodynastes,dorsalis,8.245141483,377.4517932,2.576861493,34.0804435,5.511741691,1.875061263,0.018946779,0,3.40804435,18.75061263,1.894677871,0.824514148,0.116,-0.935542011,0.047664195,,,,,,,,,,,,,,,,,,,
